title,release_date,overview,tagline,genres,keywords
Holnap történt - A nagy bulvárfilm,2009-02-04,"The characters are ridiculous, the plot is not consistent, the jokes are not funny, the actors and the producer are brain-dead zombies.",,"Mystery, Comedy",
Carved from the Heart,1997-01-16,"One man loses his son to a cocaine overdose. Grieving, Stan Marsden, a Tsimpsean wood carver decides to create a totem pole in his son's memory and invites the town of Craig, Alaska to help. Before he is done, the pole becomes a communal project, bringing people of diverse backgrounds and ages together.","A portrait of grief, healing, and community",Documentary,
Scott Pilgrim vs. the World Water Crisis,2020-07-20,A majority of the Scott Pilgrim cast reunite for a read through of the screenplay on behalf of Water for People.,,,
Attack of the Crab Monsters,1957-02-10,"A group of scientists travel to a remote island to study the effects of nuclear weapons tests, only to get stranded when their airplane mysteriously explodes. The team soon discovers that the tests have given rise to crabs mutated into intelligent, impervious, telepathic giants intent on increasing their numbers by breeding, then travelling to populated areas to feed, and which do not intend to be stopped by their discoverers.",From the depths of the sea... A TIDAL WAVE OF TERROR!,"Horror, Science Fiction","island, radiation, decapitation, crab, marooned, scientist, severed hand, scientist hero, underground cavern, giant crab, mysterious events, scientist heroine, missing expedition"
Teen Spirit,2019-04-12,"A shy teenager living on the Isle of Wight dreams of pop stardom. With the help of an unlikely mentor, she enters a singing competition that will test her integrity, talent, and ambition.",It’s time to shine.,"Music, Drama","musician, singer, teenage girl"
Brotherly Love: The 2023 Phillies Video Yearbook,2023-12-30,2023 brought one of the most likable teams in Phillies history and a mutual love between the team and its loyal fans.,,Documentary,
Fall in Love in Huayao,2013-01-01,Chinese movie,,,
Pantera - Cemetery Gates - Live at Hollywood Palladium,1992-06-27,"Band: Pantera  Date: 1992.06.27  Location: Hollywood, CA  Venue: Palladium  Time: 1h02m49s  This is one BADASS Pantera show.  Everyone is on their game (especially Phil) and the performance is just incredible.  The set list is killer and it was just really a great time for this band IMO.",,Music,
Ocean of Light - Dolphins VR,,"Venture into the world of wild dolphins with free diver Ashleigh Baird. In this underwater experience, viewers will become one of the pod and experience an intimate perspective of life as a dolphin.",,,virtual reality movie
From Gardens Where We Feel Secure,,Art collage by Oliver Pietsch,,,
Bounds,2024-07-26,"We are two student filmmakers, in our senior year in high school. We have both made films prior, but this is our first collaboration writing and directing together.",Bloodshed Follows Bloodshed,"Thriller, Horror",bounds
The Double Standard,1917-07-23,"Newly elected police court judge John Fairbrother is impassioned when it comes to the laws affecting the dives and cabarets of the city, and promises equal justice for all.",,Drama,lost film
Dead Fish,,,,,
Glimmer,,"Amidst daily life in lockdown – homeschooling routines, a daughter's face, refractions of a crystal – time is reinvented as moments reverberating into the infinite.",,,
Neverland,2009-08-28,"Neverland is a state of mind, a mountain pushed up from the ground by imagination. Anyone can go but most people have trouble with the simple directions: Follow your dreams. This winter Absinthe dropped down the rabbit hole to explore this elusive place and brought back some mind bending tales and a pocketful of surprises.",Full spectrum snowboarding,Documentary,"sports, snowboarding"
The Water of Words: A Cultural Ecology of an Eastern Indonesian Island,1983-01-01,"This film examines the ecology and poetry of everyday life. Two Rotinese narrate this film, each offering his perception of the importance of the Lontar (Borassus) palm: a clan leader describes the many practical uses of the palm; a poet tells of its origin and mythic significance. The film complements Fox’s book, The Harvest of the Palm, as well as his essays on ritual language.",,Documentary,
All The Pressures,2022-02-06,British 17-year old Sam struggles to navigate his teenage years while dealing with the pressures of adolescence.,It feels so scary getting old...,Drama,
The Tightrope Walker With His Daughter On His Shoulders Crossing The Danube Canal At A Height Of 40 Metres,,"A visual exploration of the internal thoughts of a tightrope walker with his daughter on his shoulders based on the historical person of Josef Eisemann, who later fell to his death in post-war Vienna, Austria.",,,
Robbers: A The 1975 Documentary,2020-01-30,"A documentary on the band, The 1975.",,Documentary,
La valse de Cythère,2005-01-01,"""Time stops  over unfolded bodies;  unsaid desire,  untouched pleasure,  leaded to an end  by our frolics""",,,
Blue Grass Kings,1931-06-13,"Opens at the C. V. Whitney Farms (the future movie-producer) in the blue-grass area of Lexington, Kentucky and shows the new crop of colts that will be trained for horse racing. It then shows stock footage of some of the famed big-race winners of the past... Whichone, Upset, St. Germaine, others - and then cuts to the crowds in Louisville, Kentucky awaiting the annual running of the Kentucky Derby.",,,
Mass Ave,2021-07-20,"Over a day of landscaping work, a first generation African American and his immigrant father have their tense relationship and different outlooks on life transformed irreversibly when they are racially profiled by police.",,Drama,
Baby Ruby,2023-02-03,"After welcoming her baby, Ruby, home, the tightly scripted world of lifestyle influencer Jo starts to unravel. As increasingly sinister happenings mount, Jo is plunged into a waking fever dream where everyone is a threat and nothing is what it seems.",A mother's instincts never lie.,"Drama, Thriller, Horror",
Kenny Chesney: Summer In 3D,2010-08-21,"Country music singer Kenny Chesney performs live in Pittsburgh, Philadelphia, Seattle, Indianapolis and Foxboro, Massachusetts.",,"Music, Documentary","concert, country music, live performance"
Espectadores,2012-03-25,Those who attend a public spectacle...,,,
Home Movie,,"In this short, also known as Trip in the Room, the camera drifts from one cubicle to another, past the clothes hanger and utensils (rack, in a way simultaneously operated by a human and a machine. A house is both a familiar and strange place horror-like. Living in it again after hospitalization serves to heighten one's memory and to open a new possibility of motion.",,,
The Ballad of Niall McNeil,,,,,
Notes on the Death of Kodachrome,2006-01-01,"Jennifer Montgomery tracks down three old friends (Joe Westmoreland, Lisa Cholodenko, and Todd Haynes) who borrowed and never returned pieces of her super-8 film equipment.",,Documentary,
A Violent Insurrection of Feelings,,"A young gay man navigates the mercurial world of dating. Looking for quick pleasure. Over the course of a constellating fever dream of a night we follow ""M"", yearning for desire while coming to terms with the lack of human connection and depth in our current world.",,,
Black Widow Wajah Ayu,1994-06-12,"Mas Ayu is a modern woman of the 90s: independent, career-minded and attractive. Except at night, when strange dreams of spiders haunt her sleep and one by one, her male friends begin to die. She then starts to believe that she is spiritually linked to spiders and as a result, cannot help but destroy her lovers.",,,
Red Dwarf A-Z,2003-02-10,"A compilation of clips and interviews, originally broadcast on BBC2's Red Dwarf Night in 1998, and subsequently included on the DVD release of Red Dwarf series 2.",,"Documentary, Comedy","interview, behind the scenes, clip show, compilation, retrospective, documentary"
There's Only One Amoruso,2002-04-22,A look back at the six years spent by Italian defender Lorenzo Amoruso at Glasgow Rangers FC eventually becoming captain and leading the club to league titles and cups.,,Documentary,
Tijuana Jackson: Purpose Over Prison,2020-07-31,An ex convict on parole is set on becoming a world renowned motivational speaker.,,Comedy,
Seventy Deadly Pills,1963-01-01,"A small boy, Dickie Goodwin, finds some strychnine pills mixed with sweets in a stolen car left in a deserted garage. With them he buys his way into the Rocket Gang. Brian, the leader, shares out the pills for swaps next day. One of the gang eats hers and collapses. The police frantically search for the pills and a broadcast appeal is made. Brian hears this and reaches the gang at Battersea funfair just in time to save them.",,"Drama, Family",
Big Hit Little Fish,2022-06-28,A Super 8 Student film made by Josh Miller.,,,
The Card Counter,2021-09-03,"William Tell just wants to play cards. His spartan existence on the casino trail is shattered when he is approached by Cirk, a vulnerable and angry young man seeking help to execute his plan for revenge on a military colonel. Tell sees a chance at redemption through his relationship with Cirk. But keeping Cirk on the straight-and-narrow proves impossible, dragging Tell back into the darkness of his past.",He's Playing the Hand He Was Dealt.,"Drama, Thriller","casino, gambling, iraq, military prison, flashback, revenge, murder, torture, poker game, gambler, ex soldier, haunted by the past"
Mr. Nonexistent,,"Tahir is an old man who lost his wife from cancer two years ago. With the irony of fate, he recently finds out he has cancer. He begins to question his existence as he struggles to survive. Now, he can not escape from the past, can not fit to the moment and even fails in his ""Wonderland"". This piece is a synopsis to all of us who suffers from existential issues at one point.",,,
Out of the Village,2016-03-12,A brother and his sister seek closure after Ebola ravages their West African village.,"If it takes a village to raise a child, then what happens when it's gone?",Drama,short film
Michael Bublé's Christmas in Hollywood,2015-12-10,Celebrate the Holidays with Michael Buble and his 5th Annual Christmas Special on NBC.,,Music,
The Devil's Creature,2013-01-01,"Sometimes the evil is already in your house. Entry in the Four4 Very Short Horror Film Competition, 2013.",,Comedy,
Star Wars at the BBC,2015-12-16,"A long time ago in a TV studio not so far away, the stars of the original Star Wars film came to the BBC to promote their then-unknown movie. Want to see a Wookie on Blue Peter, or Luke Skywalker meet Michael Aspel? Then take a look through archive BBC footage – much of which has not been shown since the 70s – to see how UK viewers were introduced to the idea of ‘the force’, protocol droids and galactic princesses.  Did Mark Hamill really appear on Coronation Street? Peter Serafinowicz, the voice of Darth Maul himself, will reveal the answer.",,Documentary,
On Holidays,1982-06-11,A group of children pass the vacation in the shore of Adriatic. Among them is also Detini a self isolated and shy boy. His friends play with him so he thinks to leave them. But his close friend Gjini helps him to recover and integrate with the others.,,"Adventure, Family",
Remembering 'Battlestar Galactica',2004-02-10,"The cast and crew of Battlestar Galactica remembers what it was like to film the series, covering everything from shooting schedules, special effects, costumes, guest stars, aliens and cancellation.",,Documentary,
Morsi,2019-03-01, ,,Animation,
I Will Float Again,,,,,
EXAM,,A film student who can't afford to pay for tuition finds an interesting way to get money.,,Drama,colors
Muse: Live on the Couch with Gonzo 2003,,"MTV Studios, England  Performed: 8th September 2003",,,
Open Streets,,,,,"graffiti, graffiti tags, urban art, documentary film"
The Rainbow Man/John 3:16,1997-01-01,"Millions of Americans have seen Rollen Frederick Stewart, a.k.a. ""Rainbow Man"", who achieved notoriety during the late 70's by appearing in the crowd at thousands of televised sporting events wearing his trademark rainbow-colored afro wig. Later—after he became a born-again Christian—he added a sign reading ""John 3:16"". Over the years, grabbing the attention of the media became an obsession for Stewart. He abandoned his home and marriage to roam the country living out of his car, studying TV Guide each week in a never-ending quest to stay televised...with tragic consequences.",,Documentary,
Mario Barth: Under The Skin,2008-12-05,,,"Documentary, History","tattooing, tattoo artist"
The Good American,2009-02-09,"Jochen Hick's film portrays Tom Weise, the producer of the HustlaBall, ­an event originally created in order to encourage the acceptance of male prostitutes, but also to launch a rent boy website. After his parents split and, having lost all contact with them, this slightly-built former student of politics decides to go to New York at the beginning of the 1990s. Being virus-positive, he is obliged to live in the USA illegally. In fact, according to the law, he cannot even pay a visit to this country. At first Tom has a hard time eking out a living as an escort. Unable to earn enough money, he winds up on the streets without a roof over his head. In the end, he succeeds in helping Jeffrey Davis set up an internet page, rentboy.com, which, ten years later, becomes the largest website for escorts. Increasingly beset by health issues, loneliness and drug abuse, in 2006 Tom eventually finds someone with whom he can share his life. He and his African-American partner decide to go to Berlin.",,,
Good Humor,1979-01-01,a Joe Ranft Cartoon,,Animation,
Mystery Science Theater 3000: Laserblast,1996-05-18,"Deep 13's funding has been cut, and as Dr. Forrester waits for the Satellite of Love to crash, he sends Mike and the Bots ""Laserblast"" (1978). Can our heroes escape to the edge of the Universe? More importantly, can they figure out why Leonard Maltin gave the film 2½ stars?",,"Comedy, Science Fiction","laser gun, puppet, mad scientist, alien, film in film, vhs, robot, monolith, series finale, mst3k, stranded in orbit, movie riffing"
Mixed Company,1974-10-18,"Kathy Morrison (Harris), mother of three, who helps run a ""color-blind"" adoption program, wants to have another biological child. Her husband, Pete (Bologna), the head coach of the Phoenix Suns, finds out he can't produce another child. Kathy thinks about adopting a boy, Frederic ""Freddie"" Wilcox, and Pete does not want to adopt a boy who happens to be black. When he relents, Freddie's arrival causes an upheaval in the Morrison's neighborhood, their school, and family. Kathy's answer is to adopt another child, in this case two, a war-traumatized half-Vietnamese girl, Quan Tran, and a Hopi boy, Joe. The new extended family must now learn to live together.",,"Comedy, Drama, Family",juvenile delinquent
He's on My Mind,2009-06-22,"Elementary school teacher, Kayla King thought she had the perfect relationship, and after an impromptu wedding, Kayla discovers that not only is she the other women...she's the other wife. Devastated, Kayla vows to figure out ""WHY MEN DO WHAT THEY DO"", and is spontaneously imbued with the ability to intercept men's thoughts. That's when the fun begins. Kayla newfound ability will present her with more than she bargained for, both in her personal life and at work.",,"Comedy, Romance",
Today's Chicago Railroads,1991-01-01,"The country's railroading capital, with a network of rail lines unlike anywhere else in the nation. The Fallen Flags of today - Burlington Northern; Chicago & North Western; Chicago Central; Conrail; Grand Trunk Western; Illinois Central; Santa Fe; Soo Line; and Wisconsin Central - were then still independent, operating entities. Other railroads plied the lines there as well: Belt Railway of Chicago; Chicago Rail Link; Chicago Short Line; Chicago, South Shore & South Bend; CSX Transportation; Elgin, Joliet & Eastern; Indiana Harbor Belt; Iowa Interstate; Metra; Norfolk Southern; Union Pacific; and Amtrak.",,Documentary,
the memory of wind,,A human that has only arms is looking around his neighborhood.,,,
Sick Serena and Dregs and Wreck and Wreck,2007-01-01,"In 2007 Picture This and Film London Artist's Moving Image Network commissioned Sick Serena and Dregs and Wreck and Wreck through the Bristol Mean Time residency. The film takes audiences into dark allegorical scenes depicting religious iconography, outmoded superstition, and slapstick comedy. Sick Serena employs imagery from British ecclesiastic stained glass to create a visually and conceptually rich, dense and multi-layered film. The work references Pier Paolo Pasolini's controversial 1963 short film La Ricotta, for which he was imprisoned for blasphemy on the basis of 'enacting' a religious scene as a comedy sketch. The scenes that unfold invoke both a sense of unease and amusement.",16mm Colour Film,,
The Titan Fallout,2022-01-01,"Four years ago, Kurt Kraven stole a serum that was intended to be used as a deadly weapon. During a chase, the vial shattered in his hand while the serum went into his bloodstream. Four years later, he soon begins to suffer the consequences.",The Past Always Finds You,Science Fiction,
Indian Tales,1994-10-01,"A young woman exacts revenge on her boyfriend when she discovers that he has cheated on her, but have events been shaped by other forces?",Indian proverbs and superstitions shape the complex love life of a young British woman.,Drama,
Cloak & Dagger: The Atari Arcade Game,2022-05-31,A mini-documentary focused on the vintage arcade game.,,,
Photo Tronology,2011-04-05,"Tron director and Legacy producer Steven Lisberger and his son, Carl, visit the Disney archives to dig through the concept art and materials the studio saved from the original Tron.",,Documentary,personal stories
War of Art,2019-03-27,"What happens when a group of international artists travel to North Korea to create art like the regime have never seen before? While the world is on the verge of nuclear war, a group of Western contemporary artists are invited into the eye of the storm. The aim is to collaborate with North Korean artists in a creative exchange project displaying new and challenging art in a country where abstract art is forbidden.",,Documentary,"art, contemporary art, cultural conflict"
Rubinov,,Two girls arrive at a bar in search of a mythical drink – Rubinov.,,Mystery,
Naked Lights,,,,,
ECW November to Remember 1995,1995-11-18,"One of the most intense rivalries in ECW history comes to a head when Tommy Dreamer teams with Terry Funk to battle Raven and Cactus Jack. The Sandman challenges Mikey Whipwreck for the ECW Championship. Taz shows his true colors when Commissioner Tod Gordon takes on Bill Alfonso. Plus, Rey Misterio Jr. faces Psicosis in a Mexican Death match.",,,
Smart Boy,1945-11-06,The U.S. Navy film “Smart Boy” encouraged World War II sailors to be just that — especially when it comes to enjoying shore leave.,,Drama,
エドワード8世 -王冠を賭けた恋-,,,,,
Message for mr Klaus Rinke,1999-01-01,The poetic of the sensory representation of the mythological longing for the unification of the separated sexes.,,,
Being David Hasselhoff,2019-08-11,,,Documentary,
Bluenight catalogues,,Bluenight catalogues,,,
Walt Disney's Fables - Vol.6,2004-05-31,"Two classic animated shorts from the Disney studios. In 'The Reluctant Dragon' (1941), a young boy and a famous dragon fighter team up to teach a docile dragon the art of being a force to be reckoned with. In 'Mickey and the Beanstalk' (1947), Mickey Mouse, Goofy and Donald Duck confront the fearsome Willie the Giant to try to retrieve the magical singing harp to Happy Valley.",,"Animation, Family, Comedy",
La resa di Titì,1945-09-14,"A young diplomat falls in love with a lady he has followed in the street and in order to establish a relationship, he introduces her into her house proposing a connection between Titì, the lady's dog and her Pekingese. The husband of the woman, somewhat naive, lends itself to the game and the dongiovanni becomes a regular home. The lady knows how to resist the siege and, after the critical moment, speaks clearly to the young man who definitively desists from the enterprise.",,Comedy,
Sophie's Fortune,2013-12-16,Brendan gets involved in a 'Fathers Only' treasure hunt for the sake of his 7 year old niece Sophie. But what Brendan begins to realise is that the parents imagination may have got the better of them and it might not be so easy bringing home Sophie's Fortune.,The Treasure of Quetzalcoatl,"Action, Adventure, Fantasy",short film
The Super Simple Show - Animals,2018-01-01,"The Super Simple show is a compilation of Super Simple's most popular songs and series that our fans love! This compilation is all about Animals! Includes children's song favorites ""Alice the Camel"", ""Let's Go To The Zoo"" & ""Old MacDonald Had A Farm"" and featuring Mr. Monkey, Monkey Mechanic, Carl's Car Wash, Sing Along with Tobee, and More!",,"Family, Animation","animal, short film"
Coach Tyranny: Tough Love,2011-03-15,"We know that Coach Tyranny is the most ferocious coach on the high school landscape, but this time, the real battles take place off the playing field. In the second episode of this animated series, unsuspected love interests force Tyranny into a tug-of-war over his heart and, ultimately, his soul. Meanwhile, a family get-together reminds Tyranny that his mother has never stopped teaching him eternal truths. Watch Coach Tyranny discover what it means to honor his mother and father, as well as learn other lessons God wants to teach all of us.","Sometimes, love is TOUGH!",Animation,
No Contact Love,2020-09-07,During the shelter in place entrepreneur Max London creates a virtual dating app for those looking for love from a distance. He creates an infomercial to introduce the world to his clients and a new way of finding love.,Who said you can't be social from a distance?,Comedy,"dating, online dating, lockdown, dating app, short film"
Wüstenkrieg: Islamisten in der Sahara,,"Focal point Mali. In 2012, Islamists conquered large parts of the West African country and threatened to take the capital Bamako. Eventually the French armed forces intervened and pushed the Islamists back to Libya.",,,
Mixed Blood,1984-10-01,"On the mean streets of New York City, a dog-eat-dog mentality reigns among the destitute citizens. In one of the many abandoned buildings in the neighborhood of Alphabet City lives the Brazilian Rita La Punta, along with her delinquent son, Thiago, and a gang of Hispanic teens charged with selling heroin and cocaine. When Rita and her young gang members get involved in a minor turf war, the violence escalates out of control, touching everyone and sparing no one.",Drugs. Sex. Murder. All in a day's work for the kids of mixed blood,Action,"corruption, heroin, gang, drugs"
NFL Draft: The Pick Is In,2023-08-25,"Guerilla-style documentary crews are embedded in the draft rooms of the Cowboys, Colts, Jaguars, and Panthers, across all seven rounds of the NFL draft—it's the ultimate reality football television.",,Documentary,"american football, sports documentary, nfl (national football league)"
P90X3 - How to Accelerate,2013-12-10,An introduction to the P90X3 program,,,
You Might As Well Live,2009-01-01,"On the advice of his childhood hero, Robert R. Mutt embarks on a madcap adventure to attain the three keys to being a ""somebody"" - a girl, some money and a championship ring.",Robert Mutt is *not* a douche bag.,Comedy,
Winter Steam Spectacular,2007-01-01,"It's full steam ahead along the tracks in the wintry wonderlands of Colorado, Utah, Nevada, and Maryland. Travel to colorful Colorado to see the Durango & Silverton Narrow Gauge Railroad and watch as the 2-8-2 #473 charges up Animas Canyon in the dead of winter. Visit Heber Valley Railroad and 2-8-0 #618 as it moves through the winter paradise of Utah's Wasatch Mountains. Enjoy winter action with the Nevada Northern as 4-6-0 #40 and 2-8-0 #93 pull passenger and freight trains, sometimes using both engines at once! Finally, discover what a pusher locomotive is all about as 7-3-4 shoves a freight train through the mountains of Western Maryland.",Great Steam Railroad Action in the Winter Season,Documentary,
Yohji Yamamoto: Dressmaker,2016-06-19,"Yohji Yamamoto | Dressmaker is an intimate and delving portrait of one of fashion's most revered stalwarts. For a man who creates clothing as armour, Yamamoto opens up as never before to share the core values that shape his life and work. Interviews with family, friends, employees and confidants reveal further insight about this complex and enigmatic figure.",,Documentary,"fashion designer, fashion, japanese"
Youth Shall Be Served,1933-01-01,Anthony Asquith’s advert for Stork Margarine.,,,
Positive Youth,2012-05-19,HIV+ youth bravely share their stories and battle stigma in this compelling documentary.,,Documentary,
3021,2018-10-12,"Operation Holokaustus has killed all but one untouchable and he’s left alone in a hardly habitable planet because of the post-truth wars. When he tried to teleport to other planets, he opens communication with a fugitive scientist who happens to be the who preserved him.",,,
The Flower Man,2020-09-25,"A shy high school student wants connection, so he builds popularity by helping other guys find dates to homecoming with the help of a community flower garden.",A bouquet of flowers might just do the trick...,,
In Harm's Way: The Making of A Movie,,The Making of In Harm's Way (1965),,,
The Big Space Shuttle,1997-01-01,"Blast Off with the astronauts of the Space Shuttle on a real mission! Experience what it’s like to work and live in outer space!  Learn all about the space program. Visit the launch pad, the rockets, astronaut training, and Mission Control!  Discover what scientists are learning about our universe and see the world’s largest radio telescope!",Fly Into Space!,Documentary,
Priscilla the Pole Dancer,2006-09-19,"Lonely man Lance falls in love with his gorgeous piano teacher Priscilla. As their lessons get hotter, Lance discovers that Priscilla has another talent that she keeps secret... She is a sexy stripper by night.He's in for an erotic private lesson with Priscilla and her entourage of sexy stripper friends teach him some sexy love lessons that he'll never forget.",By Day She Teaches Music. By Night She Loses Control!,,
The Making of 'Jackass 2.5',2007-12-19,A making of documentary of the film Jackass 2.5,,Comedy,lgbtq
The Devil's Bait,1917-01-01,A father's strict upbringing of his beautiful but innocent young daughter may backfire on him when he finds she is being pursued by a lecherous cad who is determined to take her virtue.,,,
National Velvet,1945-01-26,"Mi Taylor is a young wanderer and opportunist who finds himself in the quiet English countryside home of the Brown family. The youngest daughter, Velvet, has a passion for horses and when she wins the spirited steed Pie in a town lottery, Mi is encouraged to train the horse.",Simple story of a boy... a girl... and a horse! Set to the thunder of the Grand National Steeplechase!,"Drama, Family","england, horseback riding, horse race, human animal relationship, horse, english countryside, jockey, horse racing, horse trainer, grand national, 1920s, afi, sussex"
Through the Hawthorn,2014-01-01,"Three characters, three perspectives, three directors. A session between a psychiatric, a schizophrenic patient and his mother.",,Animation,
RiffTrax: Arachnia,,"From Edgewood, the studio that brought us gems like Time Chasers, Radical Jack, and Icebreaker—yet is still somehow legally permitted to continue making movies—it’s Arachnia!  Yes, Arachnia, for people who want a goofy spider movie but find the word Arachnophobia a couple syllables too long. As is required in Edgewood films, it all begins with a light plane crash. (TIP: if you ever find yourself living in the Edgewood film universe, stick to big planes, the little ones will only get you in trouble.) This particular crash brings this particular crew of non-actors to a little remote cabin in a little remote place that claims to be somewhere near Arizona but sure looks a lot like Vermont. (Another tip: if you find yourself living in the Edgewood film universe, no matter where you think you are, you are actually in Vermont.)  Run, walk, swim, but whatever you do don’t get on a light plane to join Mike, Bill, and Kevin for Arachnia!",,,
Summer and Winter,,"An epic poem of literary quotes, soundscapes and slide film images from the former DDR.",,,
The Beatles: The Lost Concert,,"The Beatles first-ever U.S. concert performance from February 11, 1964 at D.C.'s Washington Coliseum.",,,
Dreamer,2023-07-20,Someone faces with a mirror in a jungle and has some new experiences.,,"Fantasy, Adventure",
The Whirring of the Patio Fans,,"An exploration of an apartment and its surroundings - the foregone journey into night, into silence.",Part One of Three,Documentary,
Sweeney Todd: The Demon Barber Of Fleet Street,2011-04-01,April 2011 at the Théâtre du Châtelet (Paris)  Stephen Sondheim’s adaptation of the macabre musical thriller Sweeney Todd: The Demon Barber of Fleet Street.,,,
New Kids on the Blockchain,2020-05-02,We drank the Crypto Kool-Aid and got sucked into the ICO bubble of 2017-2019: A wild ride into the heart of the Blockchain dream of decentralized freedom. Was it a mirage or start of new way to do capitalism? Whatever it was - it was crazy,A Savage Journey Into the Heart of Cryptocurrency,Documentary,
Junior Prom,1946-01-01,Experiences of two couples on a double date at the Junior Prom.,,,
"Uzay, Fehmi ve Şehrin Sırları",2021-01-01,"Space, Fehmi and the Secrets of the City, replaces the traditional narration of Mardin as a “fairy tale city” with a tale of space adventure set in Mardin. the hospitable narrator of the film believes that Noah’s Ark was fi lled with types of people, not animals. We meet Fehmi, who might as well be Noah; according to the narrator, secretly wants to go to space or perhaps he is actually from there…","Space, Fehmi and the Secrets of the City",,
Machinic Phylum,2015-05-14,"A symbiosis of human and nature forms, by direct manipulation of video code, purposely damaging it in ‘glitch’ process, creating rich explosions of colour and form. The images, a little girl in a flower field, Earth from space and bits of satellites, become vibrant substance, where the girl and the environment interact in mutual consumption, reflecting poetic perception of existence, echoing childhood sense of endless open planes of possibilities.",,,
Leap,2010-01-22,A group of parkour practitioners come to the realization that they're living in the end times.,Sometimes it takes a leap of faith,Action,"the rapture, parkour, apocalypse"
Asperger's Are Us,2016-11-11,"For the members of the comedy troupe Asperger’s Are Us, it’s easier to associate with a faceless audience than with their own families. No matter who the crowd, best friends Noah, New Michael, Jack and Ethan have one simple mantra: “We would much rather the audience appreciate us as comedians than people who have overcome adversity.”  In this coming-of-age heartfelt documentary, this band of brothers finds themselves at a crossroad. With real life pulling them apart, they decide to plan one ambitious farewell show before they all go their separate ways. People with Asperger’s don’t deal well with uncertainty, and this is the most uncertain time in their lives.",,Documentary,autism
平嶋夏海/桃夏,,Direct to video,,,
The Orphanage,,"A strange figure hovers over a cradle. Entry in the Four4 Very Short Horror Filmi Competition, 2013.",,,
The Tribe of Gods,,"Patsy Dan Rodgers is the last King of Ireland, who lives on Tory Island, Ireland’s most remote inhabited island. A small rock in the Atlantic with a hundred and a fifty strong Irish speaking community. Diagnosed with cancer, the King leads the islanders’ constant efforts to secure their rights and unique way of living.",,,
Amanda Lear: Call Me Mademoiselle,2023-04-21,"In the 70s, Amanda Lear was a disco queen, pop icon, model and world star. She enchanted Paco Rabanne, Andy Warhol, Bryan Ferry and David Bowie. She lived with Salvador Dalí and went out with Brian Jones of the Rolling Stones.  A born performer, with legendary mystique and charm, she kept her true self hidden behind numerous faces. From Bowie to Berlusconi, from London to Paris: the story of Amanda Lear is also a story of the second half of the 20th century.",,Documentary,
I Don't Believe in That,2015-12-10,"How can Derrick and Keith be so in love, and so NOT on-the-same-page?",,Comedy,
Hambre,,,,,
Counselitis,1935-11-22,Leon Errol in court for stealing an umbrella and abusing his wife.,,Comedy,
Austerity Measures,2012-05-29,"A color-separation portrait of the Exarchia neighborhood of Athens, Greece, made during the Anti-Austerity protests in late 2011. In a place thick with stray cats and scooters, cops and Molotovs, ancient myths and new ruins; where fists are raised like so many columns in the Parthenon, this is a film of surfaces - of grafitti'd marble streets and wheat-pasted city walls - hand-processed in red, green, and blue.",,,
Atlanta Homecoming,1998-01-01,"Filmed at one of the largest Homecoming concert events ever at the Georgia Dome, Atlanta, Georgia; Atlanta Homecoming contains live performances of some of your favourite songs and artists.",Live from the Georgia Dome,Music,
The Historian Paradox,2011-01-01,A time-traveling Historian falls for a woman he learns is destined to become a victim of a series of terrorist bombings.,,"Drama, Romance",
Canada Vignettes: Ice,1982-01-01,Ice cutting on the St. Lawrence River in the 1860s is illustrated in song and animated graphics.,,Animation,
Souterrain,1978-01-02,"A basement apartment , depart from their elongated corridor 5 rooms . The whole apartment is crosslinked by mirrors that function as a monitoring system . Throughout the shoot time I have the camera does not move , she stood there like a dead man , but every corner of the apartment had by this mirror monitor installation constantly in the viewfinder . So the movie starts from the the front door at the farthest part of the apartment and ending with the view on the street, he crosses this Disstanz speak without eimal to turn his head , - . Not as in life through their own motion , but as in cinema, reading , in my head : physically passive. This works by the rise doors and cut off the see way , mirrors are crazy and turn the see way or redirect , until he finally goes in 25 minutes to the door on the street.",,,
Kelly the Second,1936-08-21,A feisty Irish woman turns a truck driver into a championship boxer.,Exposing the prize fighting racket from the laff side!!,"Romance, Comedy","waitress, wager"
Nocturnal Celluloid,,"In the midst of a move out, Stevie finds his deceased uncles film prints that depict his service in the Vietnam war.",,"Thriller, War",
Prostitution: What's the Harm?,2014-03-17,"Billie JD Porter goes in search of the human face of the prostitution business, talking to the young men who pay for sex and to the young women who sell their bodies.",,Documentary,
Baba's Cars,2006-03-31,Jojo is out of money and must work for his stepfather's shady car dealership to pick up a car that belongs to a Russian gangster.,,"Comedy, Action",
Spreaders,2021-04-20,Deep into Melbourne's second lockdown best friends Laura and Jonathan decide to sleep with each other. Only problem is they're both gay.,Queer Lives in Isolation,,
Redemption,2002-05-28,"A disgraced cop goes to work for the mob, and must choose between good and evil when he goes up against his former friends on the force.",Once a cop... always a cop.,Action,
Against the Night,2017-09-15,"A group of friends sneak into an abandoned prison with the intention of making a ghost hunting video, until they start to go missing one by one.",,"Horror, Thriller, Mystery","handheld camera, ghost hunting, prison visit, old building, trapped in building, state prison, dead bodies"
Falling for Christmas,2022-11-10,"An engaged, spoiled hotel heiress finds herself in the care of a handsome, blue-collar lodge owner and his precocious daughter after getting amnesia in a skiing accident.","This holiday season, fall for the unexpected.","Romance, Comedy, Family",christmas spirit
